################################################################
# abuse.ch Feodo Tracker Botnet C2 IP Blocklist (CSV)          #
# Last updated: 2021-10-02 09:25:46 UTC                        #
#                                                              #
# Terms Of Use: https://feodotracker.abuse.ch/blocklist/       #
# For questions please contact feodotracker [at] abuse.ch      #
################################################################
#
"first_seen_utc","dst_ip","dst_port","c2_status","last_online","malware"
"2021-06-23 20:10:38","178.79.150.86","4664","online","2021-10-03","Dridex"
"2021-06-26 06:29:59","41.57.156.203","443","offline","2021-09-08","TrickBot"
"2021-06-27 17:09:48","95.111.235.8","13786","offline","2021-09-07","Dridex"
"2021-06-27 17:09:49","115.68.220.48","443","offline","2021-09-07","Dridex"
"2021-06-28 12:31:49","220.82.64.198","443","offline","2021-09-08","TrickBot"
"2021-06-28 12:31:52","196.216.59.174","443","offline","2021-09-08","TrickBot"
"2021-06-28 12:31:53","113.160.132.237","443","offline","2021-09-08","TrickBot"
"2021-06-28 12:31:54","202.165.47.106","443","offline","2021-09-08","TrickBot"
"2021-06-28 12:32:02","222.124.16.74","443","offline","2021-09-08","TrickBot"
"2021-06-28 15:31:40","186.225.119.170","443","offline","2021-09-08","TrickBot"
"2021-06-28 15:31:40","200.236.218.62","443","offline","2021-09-08","TrickBot"
"2021-06-28 15:31:41","49.248.217.170","443","offline","2021-09-08","TrickBot"
"2021-06-28 15:31:42","119.202.8.249","443","offline","2021-09-08","TrickBot"
"2021-06-28 15:31:43","103.122.228.44","443","offline","2021-09-08","TrickBot"
"2021-06-30 20:00:39","45.36.99.184","443","offline","2021-09-08","TrickBot"
"2021-06-30 20:00:40","24.162.214.166","443","online","2021-10-03","TrickBot"
"2021-06-30 20:00:41","184.74.99.214","443","offline","2021-09-08","TrickBot"
"2021-07-01 07:27:52","170.238.117.187","443","online","2021-10-03","TrickBot"
"2021-07-02 09:30:06","5.34.74.210","443","online","2021-10-03","TrickBot"
"2021-07-02 19:15:47","31.207.89.74","4664","offline","2021-09-06","Dridex"
"2021-07-02 19:15:50","167.172.119.42","443","online","2021-10-03","Dridex"
"2021-07-02 19:15:50","50.116.23.195","13786","online","2021-10-03","Dridex"
"2021-07-03 03:30:12","190.197.55.254","443","online","2021-10-03","TrickBot"
"2021-07-03 04:44:31","190.61.43.241","443","online","2021-10-03","TrickBot"
"2021-07-03 17:11:37","142.4.219.173","4664","online","2021-10-03","Dridex"
"2021-07-03 17:11:37","104.168.155.129","443","offline","2021-09-08","Dridex"
"2021-07-03 22:13:14","176.31.117.84","9443","online","2021-10-03","Dridex"
"2021-07-04 18:30:08","182.253.106.35","443","online","2021-10-03","TrickBot"
"2021-07-06 16:18:10","178.79.147.66","443","online","2021-10-03","Dridex"
"2021-07-06 16:18:12","54.191.98.150","13786","online","2021-10-03","Dridex"
"2021-07-07 16:16:04","209.44.106.71","443","offline","2021-09-07","Dridex"
"2021-07-07 16:16:04","54.37.106.167","13786","online","2021-10-03","Dridex"
"2021-07-07 16:16:05","207.58.132.19","9443","online","2021-10-03","Dridex"
"2021-07-08 19:01:48","150.95.20.209","3978","offline","2021-09-08","Dridex"
"2021-07-10 03:28:28","37.59.103.148","4664","online","2021-10-03","Dridex"
"2021-07-10 03:28:28","43.229.206.214","4664","online","2021-10-03","Dridex"
"2021-07-10 06:31:04","79.143.186.143","5007","online","2021-10-03","Dridex"
"2021-07-12 13:13:46","195.9.84.106","443","online","2021-10-03","TrickBot"
"2021-07-13 08:31:22","107.170.64.97","9043","online","2021-10-03","Dridex"
"2021-07-13 08:31:24","212.227.94.31","10172","offline","2021-09-08","Dridex"
"2021-07-14 15:30:51","66.175.217.172","13786","online","2021-10-03","Dridex"
"2021-07-14 15:30:52","202.29.60.34","443","offline","2021-09-08","Dridex"
"2021-07-18 08:51:55","79.172.201.113","8443","online","2021-10-03","Dridex"
"2021-07-18 14:52:46","114.207.112.77","9043","offline","2021-09-08","Dridex"
"2021-07-21 15:16:51","178.238.236.59","443","online","2021-10-03","Dridex"
"2021-07-21 15:16:51","104.245.52.73","5007","online","2021-10-03","Dridex"
"2021-07-21 21:26:57","109.104.92.237","10172","offline","2021-09-16","Dridex"
"2021-07-26 21:18:19","68.183.216.174","7443","offline","2021-09-30","Dridex"
"2021-07-26 21:18:21","45.79.33.48","443","online","2021-10-03","Dridex"
"2021-07-28 16:01:42","104.248.178.90","4664","online","2021-10-03","Dridex"
"2021-07-28 16:01:43","173.212.243.155","7002","offline","2021-09-27","Dridex"
"2021-07-29 17:42:58","177.75.5.222","443","online","2021-10-03","TrickBot"
"2021-07-30 12:28:05","105.27.205.34","443","offline","2021-09-27","TrickBot"
"2021-07-30 19:14:45","181.129.167.82","443","online","2021-10-03","TrickBot"
"2021-07-30 21:15:51","128.201.76.252","443","offline","2021-09-08","TrickBot"
"2021-07-30 21:15:55","221.147.172.5","443","offline","2021-09-09","TrickBot"
"2021-07-30 22:31:07","196.216.220.211","443","offline","2021-09-08","TrickBot"
"2021-07-30 22:31:21","36.67.97.127","443","online","2021-10-03","TrickBot"
"2021-07-30 23:46:31","103.238.203.82","443","online","2021-10-03","TrickBot"
"2021-07-31 11:43:22","177.52.173.20","9043","offline","2021-09-27","Dridex"
"2021-07-31 11:43:22","166.62.103.55","7443","offline","2021-09-08","Dridex"
"2021-07-31 19:58:44","103.140.207.110","443","online","2021-10-03","TrickBot"
"2021-08-01 00:47:34","103.109.247.13","10443","online","2021-10-03","Dridex"
"2021-08-01 00:47:35","103.253.107.156","7443","online","2021-10-03","Dridex"
"2021-08-01 11:36:20","36.89.98.183","443","online","2021-10-03","TrickBot"
"2021-08-02 08:42:00","59.4.68.75","443","offline","2021-09-14","TrickBot"
"2021-08-02 09:26:01","185.164.32.148","443","online","2021-10-03","TrickBot"
"2021-08-02 16:27:16","46.99.175.149","443","offline","2021-09-08","TrickBot"
"2021-08-02 16:27:16","46.99.175.217","443","online","2021-10-03","TrickBot"
"2021-08-02 16:27:17","46.99.188.223","443","offline","2021-09-06","TrickBot"
"2021-08-02 16:27:17","185.56.175.122","443","offline","2021-09-08","TrickBot"
"2021-08-03 19:00:03","182.253.210.130","443","online","2021-10-03","TrickBot"
"2021-08-04 17:31:58","186.235.48.8","443","online","2021-10-03","TrickBot"
"2021-08-04 17:31:59","113.160.37.196","443","offline","2021-09-08","TrickBot"
"2021-08-04 19:22:54","137.74.112.43","443","online","2021-10-03","Dridex"
"2021-08-04 19:22:54","216.108.227.55","6225","online","2021-10-03","Dridex"
"2021-08-04 22:15:02","24.28.12.23","443","offline","2021-09-08","TrickBot"
"2021-08-05 10:48:15","139.59.124.65","6225","offline","2021-09-08","Dridex"
"2021-08-05 10:48:15","138.121.91.136","9043","online","2021-10-03","Dridex"
"2021-08-05 13:50:54","103.253.107.155","7443","online","2021-10-03","Dridex"
"2021-08-07 13:33:06","176.9.89.122","10172","offline","2021-09-08","Dridex"
"2021-08-08 09:33:07","149.210.181.82","10172","online","2021-10-03","Dridex"
"2021-08-08 09:33:09","178.33.13.40","7443","online","2021-10-03","Dridex"
"2021-08-08 15:32:01","36.66.188.251","443","online","2021-10-03","TrickBot"
"2021-08-08 22:31:57","103.30.247.115","7443","online","2021-10-03","Dridex"
"2021-08-09 12:23:54","190.93.208.53","443","offline","2021-09-08","TrickBot"
"2021-08-09 12:28:22","96.9.77.56","443","offline","2021-09-08","TrickBot"
"2021-08-09 15:47:02","118.42.135.173","443","offline","2021-09-09","TrickBot"
"2021-08-09 20:59:58","103.248.217.234","443","online","2021-10-03","TrickBot"
"2021-08-11 07:44:52","43.252.158.104","443","online","2021-10-03","TrickBot"
"2021-08-11 07:45:05","75.176.235.182","443","online","2021-10-03","TrickBot"
"2021-08-11 13:16:33","125.234.128.250","443","online","2021-10-03","TrickBot"
"2021-08-11 16:06:31","80.241.218.90","443","offline","2021-09-28","Dridex"
"2021-08-12 19:03:31","190.183.237.119","10172","online","2021-10-03","Dridex"
"2021-08-12 19:03:34","103.253.107.198","7443","online","2021-10-03","Dridex"
"2021-08-14 18:40:26","172.104.58.76","6225","online","2021-10-03","Dridex"
"2021-08-14 18:40:26","204.174.223.210","9043","online","2021-10-03","Dridex"
"2021-08-16 15:18:09","134.209.182.12","443","online","2021-10-03","Dridex"
"2021-08-16 15:18:09","188.40.100.254","4664","online","2021-10-03","Dridex"
"2021-08-16 15:18:09","103.109.247.9","10443","online","2021-10-03","Dridex"
"2021-08-18 15:31:36","74.63.218.139","13786","online","2021-10-03","Dridex"
"2021-08-18 15:31:37","142.11.214.93","4664","online","2021-10-03","Dridex"
"2021-08-20 00:57:33","148.251.238.52","10172","online","2021-10-03","Dridex"
"2021-08-20 00:57:33","209.216.243.2","7443","offline","2021-09-08","Dridex"
"2021-08-20 00:57:33","103.30.247.116","6225","online","2021-10-03","Dridex"
"2021-08-20 04:28:37","50.116.62.25","8194","online","2021-10-03","Dridex"
"2021-08-20 04:28:38","185.143.48.16","7443","online","2021-10-03","Dridex"
"2021-08-22 00:26:09","209.89.76.47","10172","online","2021-10-03","Dridex"
"2021-08-23 21:09:45","217.18.75.120","10172","online","2021-10-03","Dridex"
"2021-08-25 14:51:00","54.39.98.141","6602","online","2021-10-03","Dridex"
"2021-08-25 14:51:02","103.82.248.59","443","online","2021-10-03","Dridex"
"2021-08-25 14:51:02","103.109.247.8","10443","online","2021-10-03","Dridex"
"2021-08-26 15:45:29","5.135.167.231","8443","online","2021-10-03","Dridex"
"2021-08-26 15:45:30","212.53.160.143","10172","online","2021-10-03","Dridex"
"2021-08-26 17:46:08","51.75.162.188","6225","offline","2021-09-08","Dridex"
"2021-08-27 04:48:12","192.99.150.39","7443","online","2021-10-03","Dridex"
"2021-08-27 04:48:12","46.101.182.168","10172","online","2021-10-03","Dridex"
"2021-08-27 04:48:14","216.120.236.127","9043","offline","2021-09-08","Dridex"
"2021-08-28 21:57:30","213.136.86.165","7443","online","2021-10-03","Dridex"
"2021-08-28 21:57:35","45.33.33.91","10172","online","2021-10-03","Dridex"
"2021-08-30 22:30:29","193.25.100.114","9043","offline","2021-09-08","Dridex"
"2021-08-30 22:30:31","97.107.134.115","10172","online","2021-10-03","Dridex"
"2021-08-30 22:30:34","103.253.107.153","7443","online","2021-10-03","Dridex"
"2021-09-01 14:52:02","103.87.173.60","443","online","2021-10-03","Dridex"
"2021-09-01 14:52:02","45.32.243.209","8116","offline","2021-09-22","Dridex"
"2021-09-01 14:52:05","207.180.208.54","4664","offline","2021-09-07","Dridex"
"2021-09-04 21:09:53","103.92.200.13","9676","offline","2021-09-10","Dridex"
"2021-09-04 21:09:54","45.80.173.80","9676","offline","2021-09-08","Dridex"
"2021-09-04 21:09:55","207.154.208.93","6225","online","2021-10-03","Dridex"
"2021-09-07 01:08:26","204.107.218.39","9043","online","2021-10-03","Dridex"
"2021-09-07 01:08:26","78.139.22.184","6225","offline","2021-09-11","Dridex"
"2021-09-07 22:20:53","5.199.162.48","9676","online","2021-10-03","Dridex"
"2021-09-07 22:20:54","194.1.193.11","8443","online","2021-10-03","Dridex"
"2021-09-07 22:20:54","119.59.105.131","6225","offline","2021-09-08","Dridex"
"2021-09-08 14:30:34","201.148.20.37","5412","online","2021-10-03","Dridex"
"2021-09-10 07:26:10","45.55.180.84","10172","offline","2021-09-16","Dridex"
"2021-09-10 07:26:11","128.199.206.91","6225","online","2021-10-03","Dridex"
"2021-09-13 08:29:08","92.247.29.75","10172","offline","2021-10-02","Dridex"
"2021-09-13 08:29:09","104.152.111.198","9676","offline","2021-09-16","Dridex"
"2021-09-13 20:50:27","114.79.130.68","443","online","2021-10-03","Dridex"
"2021-09-15 15:18:19","167.71.232.57","9217","online","2021-10-03","Dridex"
"2021-09-15 15:18:19","45.76.176.10","5723","online","2021-10-03","Dridex"
"2021-09-15 15:18:19","103.233.25.228","443","online","2021-10-03","Dridex"
"2021-09-15 15:39:04","176.100.4.31","443","online","2021-10-03","TrickBot"
"2021-09-15 15:39:06","165.73.90.187","443","offline","2021-09-29","TrickBot"
"2021-09-15 15:39:08","122.117.90.133","443","online","2021-10-03","TrickBot"
"2021-09-15 15:39:08","103.113.105.126","443","online","2021-10-03","TrickBot"
"2021-09-15 15:39:09","139.255.199.196","443","online","2021-10-03","TrickBot"
"2021-09-15 15:39:09","157.119.215.186","443","offline","2021-10-01","TrickBot"
"2021-09-15 15:39:09","103.75.32.38","443","online","2021-10-03","TrickBot"
"2021-09-15 15:39:11","103.94.0.178","443","online","2021-10-03","TrickBot"
"2021-09-15 15:39:12","103.127.67.38","443","online","2021-10-03","TrickBot"
"2021-09-15 15:39:12","103.122.108.44","443","offline","2021-09-23","TrickBot"
"2021-09-15 15:39:13","36.95.110.19","443","online","2021-10-03","TrickBot"
"2021-09-15 15:39:14","36.91.36.29","443","online","2021-10-03","TrickBot"
"2021-09-15 15:39:14","36.37.99.242","443","online","2021-10-03","TrickBot"
"2021-09-15 15:39:14","14.102.15.100","443","offline","2021-09-22","TrickBot"
"2021-09-15 15:39:15","14.102.15.101","443","online","2021-10-03","TrickBot"
"2021-09-16 00:53:56","206.225.86.233","10172","offline","2021-09-18","Dridex"
"2021-09-16 00:53:58","128.199.232.159","6225","online","2021-10-03","Dridex"
"2021-09-16 00:53:58","45.76.117.129","9043","offline","2021-10-02","Dridex"
"2021-09-17 11:44:00","5.199.174.90","9043","online","2021-10-03","Dridex"
"2021-09-17 11:44:00","194.141.47.9","7443","offline","2021-09-24","Dridex"
"2021-09-17 11:44:00","159.65.3.147","6225","online","2021-10-03","Dridex"
"2021-09-20 07:59:01","54.37.84.240","10172","online","2021-10-03","Dridex"
"2021-09-20 07:59:01","212.39.115.102","9676","online","2021-10-03","Dridex"
"2021-09-20 12:00:35","156.67.220.186","6225","online","2021-10-03","Dridex"
"2021-09-20 16:11:48","169.255.57.61","8116","online","2021-10-03","Dridex"
"2021-09-20 16:11:49","128.199.192.135","6602","online","2021-10-03","Dridex"
"2021-09-21 10:00:32","103.58.102.177","7443","online","2021-10-03","Dridex"
"2021-09-22 14:30:22","148.251.190.18","443","offline","2021-09-27","Dridex"
"2021-09-22 14:30:24","202.157.177.65","5412","online","2021-10-03","Dridex"
"2021-09-24 12:54:25","43.252.159.190","443","online","2021-10-03","TrickBot"
"2021-09-24 19:14:26","124.41.211.17","443","online","2021-10-03","TrickBot"
"2021-09-25 08:33:39","103.52.135.61","443","online","2021-10-03","TrickBot"
"2021-09-25 19:14:16","36.92.59.93","443","online","2021-10-03","TrickBot"
"2021-09-27 05:19:32","31.31.75.77","6225","online","2021-10-03","Dridex"
"2021-09-27 05:19:32","80.211.40.191","10172","online","2021-10-03","Dridex"
"2021-09-27 14:55:19","207.154.252.203","4664","offline","2021-09-29","Dridex"
"2021-09-27 14:55:19","138.197.109.175","443","online","2021-10-03","Dridex"
"2021-09-27 14:55:19","45.33.20.41","9217","online","2021-10-03","Dridex"
"2021-09-28 23:38:49","85.254.196.150","6225","online","2021-10-03","Dridex"
"2021-09-29 06:38:54","185.30.32.51","9676","online","2021-10-03","Dridex"
"2021-09-29 08:27:09","185.250.148.74","443","online","2021-10-03","QakBot"
"2021-09-29 08:42:47","81.241.252.59","2078","online","2021-10-03","QakBot"
"2021-09-29 08:42:47","81.250.153.227","2222","online","2021-09-30","QakBot"
"2021-09-29 08:42:47","89.101.97.139","443","online","2021-10-03","QakBot"
"2021-09-29 08:42:47","95.77.223.148","443","online","2021-10-03","QakBot"
"2021-09-29 08:42:47","47.22.148.6","443","online","2021-10-03","QakBot"
"2021-09-29 08:42:47","199.27.127.129","443","online","2021-09-30","QakBot"
"2021-09-29 08:42:48","105.198.236.99","443","online","2021-10-03","QakBot"
"2021-09-29 08:42:48","216.201.162.158","443","online","2021-10-03","QakBot"
"2021-09-29 08:42:48","37.210.152.224","995","online","2021-10-03","QakBot"
"2021-09-29 08:42:49","136.232.34.70","443","online","2021-10-03","QakBot"
"2021-09-29 08:42:49","181.118.183.94","443","online","2021-10-03","QakBot"
"2021-09-29 08:42:50","120.151.47.189","443","online","2021-10-03","QakBot"
"2021-09-29 08:42:51","120.150.218.241","995","online","2021-10-03","QakBot"
"2021-09-29 08:42:51","41.228.22.180","443","online","2021-10-03","QakBot"
"2021-09-29 08:42:53","122.11.220.212","2222","online","2021-10-01","QakBot"
"2021-09-29 11:10:09","177.130.82.197","2222","online","2021-09-30","QakBot"
"2021-09-29 12:05:05","24.139.72.117","443","online","2021-10-01","QakBot"
"2021-09-29 12:15:05","24.229.150.54","995","online","2021-09-30","QakBot"
"2021-09-29 12:20:06","186.18.205.199","995","online","2021-09-30","QakBot"
"2021-09-29 13:10:07","73.151.236.31","443","online","2021-10-03","QakBot"
"2021-09-29 13:35:05","68.204.7.158","443","online","2021-10-01","QakBot"
"2021-09-29 13:50:05","75.188.35.168","443","online","2021-10-03","QakBot"
"2021-09-29 13:50:05","72.252.201.69","443","online","2021-10-01","QakBot"
"2021-09-29 14:05:04","173.21.10.71","2222","online","2021-10-03","QakBot"
"2021-09-29 14:20:05","24.55.112.61","443","online","2021-09-30","QakBot"
"2021-09-29 14:20:06","71.80.168.245","443","online","2021-09-30","QakBot"
